Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Distance_in_KM
24.0,4.9,Stormy,Medium,1.0,Snack,scooter,1.0,No,Metropolitian,22.0,7.562982485200133
30.0,4.1,Fog,Low,0.0,Snack,motorcycle,0.0,No,Metropolitian,43.0,11.00773476374462
35.0,4.8,Fog,Medium,0.0,Meal,motorcycle,3.0,No,Metropolitian,48.0,13.829314445199351
33.0,4.5,Stormy,Low,2.0,Drinks,electric_scooter,1.0,No,Metropolitian,19.0,13.969116967730171
39.0,4.7,Windy,Medium,1.0,Snack,motorcycle,1.0,No,Urban,21.0,10.92326745824626
31.0,4.3,Windy,Jam,1.0,Drinks,motorcycle,0.0,No,Metropolitian,44.0,12.117036432265502
37.0,4.5,Windy,Low,2.0,Drinks,scooter,0.0,No,Metropolitian,26.0,1.5525704156536744
37.0,4.7,Windy,Low,1.0,Buffet,scooter,1.0,No,Metropolitian,26.0,4.663566689152146
33.0,5.0,Windy,High,1.0,Meal,motorcycle,1.0,No,Metropolitian,31.0,1.5294972211332267
24.0,4.6,Stormy,Low,2.0,Meal,scooter,1.0,No,Urban,19.0,9.435201537430713
33.0,4.5,Sunny,Jam,1.0,Snack,scooter,0.0,No,Metropolitian,18.0,11.916757259074618
39.0,4.7,Fog,Medium,2.0,Meal,motorcycle,1.0,No,Metropolitian,38.0,10.486117701549256
37.0,4.6,Cloudy,Medium,1.0,Snack,motorcycle,1.0,No,Metropolitian,32.0,13.583078662317009
25.0,4.9,Sandstorms,Low,2.0,Meal,scooter,1.0,No,Metropolitian,17.0,7.6831914051315
28.0,4.8,Fog,Medium,1.0,Buffet,scooter,1.0,No,Urban,11.0,9.193093962702912
38.0,4.7,Windy,High,2.0,Buffet,motorcycle,1.0,No,Metropolitian,31.0,6.217883647558105
30.0,4.2,Sandstorms,Medium,0.0,Drinks,motorcycle,0.0,No,Metropolitian,43.0,10.427235657896496
31.0,4.6,Windy,Medium,0.0,Meal,motorcycle,0.0,No,Metropolitian,25.0,9.326872529115304
25.0,4.8,Cloudy,Jam,2.0,Snack,motorcycle,1.0,No,Metropolitian,22.0,9.179538450826046
35.0,4.9,Fog,Jam,0.0,Drinks,motorcycle,3.0,No,Metropolitian,43.0,10.88065184853556
39.0,4.7,Fog,Jam,0.0,Buffet,motorcycle,1.0,Yes,Metropolitian,42.0,10.565262855251524
38.0,3.9,Stormy,Jam,1.0,Meal,motorcycle,0.0,No,Metropolitian,42.0,12.100062421152574
35.0,4.7,Fog,Jam,1.0,Drinks,motorcycle,1.0,No,Metropolitian,34.0,4.657159718107683
29.0,4.7,Sandstorms,Low,1.0,Snack,motorcycle,1.0,No,Metropolitian,17.0,2.981217855191797
27.0,4.6,Stormy,Jam,1.0,Snack,scooter,0.0,No,Metropolitian,25.0,4.56126563284071
38.0,4.3,Sandstorms,Jam,0.0,Meal,motorcycle,1.0,Yes,Semi-Urban,54.0,13.989916877275611
36.0,4.9,Windy,Low,2.0,Buffet,motorcycle,0.0,No,Metropolitian,21.0,10.64228895373868
26.0,4.0,Cloudy,High,1.0,Buffet,motorcycle,0.0,No,Metropolitian,34.0,6.147404652636644
26.0,4.1,Fog,Jam,2.0,Meal,motorcycle,1.0,No,Metropolitian,36.0,13.428477357470896
36.0,4.9,Sunny,Medium,1.0,Drinks,motorcycle,0.0,No,Metropolitian,17.0,9.32728515796102
21.0,4.7,Sunny,Low,0.0,Meal,motorcycle,1.0,No,Metropolitian,16.0,1.489792976782627
35.0,4.7,Sunny,Jam,2.0,Meal,electric_scooter,1.0,No,Metropolitian,27.0,12.418394742110449
20.0,4.5,Fog,High,2.0,Meal,motorcycle,1.0,No,Metropolitian,26.0,6.217860689144307
23.0,4.6,Fog,Jam,0.0,Snack,motorcycle,2.0,Yes,Metropolitian,46.0,13.787803344501585
37.0,5.0,Sunny,Jam,0.0,Buffet,motorcycle,0.0,No,Metropolitian,29.0,9.080187058763226
26.0,4.8,Sandstorms,Jam,0.0,Snack,motorcycle,1.0,No,Metropolitian,23.0,9.31544163550089
29.0,5.0,Sandstorms,Low,1.0,Snack,scooter,0.0,No,Urban,11.0,12.161417162421785
26.0,4.9,Stormy,Medium,1.0,Snack,motorcycle,0.0,No,Metropolitian,28.0,16.636875038860897
29.0,4.8,Cloudy,Jam,0.0,Meal,motorcycle,1.0,No,Metropolitian,25.0,9.19295116708344
29.0,4.7,Sandstorms,Low,2.0,Snack,motorcycle,0.0,No,Metropolitian,11.0,3.018226484999601
21.0,4.9,Windy,Medium,1.0,Meal,scooter,1.0,No,Metropolitian,26.0,4.395420246829376
22.0,4.3,Stormy,Low,0.0,Meal,motorcycle,1.0,No,Metropolitian,23.0,3.109059104393369
31.0,4.0,Fog,Medium,1.0,Snack,motorcycle,2.0,No,Metropolitian,39.0,11.916582838288104
20.0,4.5,Fog,Low,1.0,Snack,motorcycle,0.0,No,Metropolitian,11.0,3.1162485097900614
30.0,3.9,Stormy,Jam,2.0,Drinks,electric_scooter,0.0,No,Metropolitian,32.0,12.116950608888414
36.0,4.8,Fog,Medium,0.0,Snack,motorcycle,1.0,No,Metropolitian,43.0,10.868263117988388
24.0,4.7,Fog,Medium,1.0,Buffet,scooter,0.0,No,Metropolitian,13.0,6.218153086065015
32.0,4.7,Windy,Low,2.0,Buffet,electric_scooter,0.0,No,Metropolitian,25.0,1.554424975889475
25.0,5.0,Windy,Medium,1.0,Drinks,motorcycle,0.0,No,Metropolitian,27.0,9.313017158714828
27.0,4.5,Windy,Medium,2.0,Drinks,scooter,1.0,No,Metropolitian,29.0,6.147106622705506
32.0,4.1,Sandstorms,Medium,0.0,Buffet,motorcycle,1.0,No,Metropolitian,33.0,10.867300462045836
23.0,4.7,Fog,Medium,1.0,Drinks,motorcycle,1.0,No,Urban,19.0,6.209259882041872
39.0,4.4,Sunny,Medium,0.0,Meal,motorcycle,1.0,No,Metropolitian,33.0,20.18085916835158
20.0,4.8,Fog,Jam,1.0,Snack,motorcycle,1.0,No,Metropolitian,28.0,9.435201537430713
20.0,4.8,Windy,Medium,2.0,Drinks,electric_scooter,0.0,No,Metropolitian,15.0,11.919755989352296
29.0,4.6,Stormy,Jam,1.0,Meal,scooter,1.0,No,Metropolitian,29.0,4.494291162003504
26.0,4.9,Stormy,Low,2.0,Meal,scooter,1.0,No,Metropolitian,18.0,20.85172635753384
25.0,5.0,Stormy,Low,1.0,Meal,motorcycle,1.0,No,Metropolitian,14.0,1.5605734793807475
34.0,4.7,Windy,Medium,1.0,Snack,motorcycle,1.0,No,Metropolitian,30.0,6.2105896103141776
31.0,4.9,Sunny,High,0.0,Snack,motorcycle,0.0,No,Metropolitian,28.0,6.175283575308341
24.0,4.7,Fog,Jam,0.0,Snack,motorcycle,1.0,No,Metropolitian,39.0,20.44292976252901
30.0,4.9,Cloudy,Medium,2.0,Meal,motorcycle,0.0,No,Metropolitian,30.0,13.830084721845328
36.0,4.8,Sandstorms,Medium,0.0,Buffet,motorcycle,1.0,No,Metropolitian,36.0,19.37374583495492
36.0,4.4,Fog,Low,0.0,Snack,motorcycle,0.0,No,Metropolitian,37.0,20.857115324129595
26.0,4.7,Cloudy,Jam,0.0,Meal,motorcycle,1.0,No,Metropolitian,43.0,20.85155740266056
30.0,4.6,Sunny,Low,2.0,Buffet,scooter,1.0,No,Metropolitian,29.0,16.659963190057415
20.0,4.8,Stormy,Medium,2.0,Drinks,scooter,1.0,No,Metropolitian,25.0,4.717601092054723
33.0,4.7,Fog,Medium,2.0,Buffet,electric_scooter,1.0,No,Urban,15.0,7.76260023979039
30.0,4.2,Sandstorms,Jam,1.0,Snack,scooter,0.0,No,Metropolitian,24.0,11.00773476374462
34.0,4.0,Windy,Jam,0.0,Snack,motorcycle,2.0,No,Metropolitian,39.0,13.76685500858734
36.0,4.6,Windy,Low,0.0,Buffet,motorcycle,1.0,No,Metropolitian,20.0,12.293677673573283
33.0,4.6,Fog,Low,1.0,Buffet,motorcycle,1.0,No,Metropolitian,15.0,2.9846372692856606
22.0,4.8,Sandstorms,Low,1.0,Drinks,motorcycle,1.0,No,Metropolitian,16.0,16.78827586251448
38.0,4.7,Sunny,Low,2.0,Drinks,scooter,1.0,No,Metropolitian,19.0,1.532022774064172
27.0,4.9,Fog,Low,2.0,Drinks,scooter,0.0,No,Metropolitian,20.0,12.421407858787804
32.0,4.8,Sunny,Jam,2.0,Meal,scooter,1.0,No,Metropolitian,25.0,10.44477615516592
26.0,4.8,Cloudy,Jam,0.0,Snack,motorcycle,1.0,No,Metropolitian,43.0,12.420750050313671
29.0,4.5,Windy,Low,0.0,Drinks,motorcycle,0.0,No,Urban,15.0,19.659373527443684
31.0,4.5,Sunny,Jam,0.0,Buffet,motorcycle,0.0,No,Urban,29.0,12.46418980459368
28.0,4.6,Stormy,High,2.0,Drinks,motorcycle,0.0,No,Metropolitian,14.0,6.146243658393431
21.0,4.8,Sunny,Medium,1.0,Buffet,motorcycle,1.0,No,Metropolitian,11.0,8.92908688893574
21.0,4.0,Sandstorms,Low,0.0,Buffet,motorcycle,0.0,No,Metropolitian,19.0,7.79036212453358
30.0,4.9,Windy,Low,1.0,Drinks,motorcycle,1.0,No,Metropolitian,29.0,12.58026782240096
29.0,4.7,Cloudy,Medium,2.0,Buffet,motorcycle,1.0,No,Urban,11.0,5.992096714696517
20.0,4.8,Sunny,High,1.0,Snack,motorcycle,0.0,No,Metropolitian,14.0,1.5297232853100242
28.0,5.0,Windy,Low,0.0,Snack,motorcycle,0.0,No,Urban,15.0,13.73594217639692
25.0,4.7,Sandstorms,Low,0.0,Meal,motorcycle,1.0,No,Metropolitian,16.0,10.705559922396557
38.0,4.8,Stormy,Low,1.0,Buffet,motorcycle,1.0,No,Metropolitian,20.0,3.1048037532854496
39.0,4.9,Stormy,Low,1.0,Drinks,motorcycle,1.0,No,Metropolitian,26.0,4.610073053799191
26.0,4.9,Windy,Medium,1.0,Snack,scooter,0.0,No,Metropolitian,26.0,9.122100805601145
33.0,4.4,Windy,Jam,1.0,Meal,motorcycle,0.0,No,Urban,43.0,10.906036622245482
24.0,4.6,Sandstorms,Medium,0.0,Snack,motorcycle,1.0,No,Urban,25.0,9.088013799330469
24.0,4.9,Fog,Medium,0.0,Buffet,motorcycle,1.0,No,Metropolitian,28.0,6.232303380306801
33.0,4.5,Stormy,Low,2.0,Buffet,scooter,0.0,No,Metropolitian,17.0,13.611566722125083
35.0,4.2,Windy,Jam,1.0,Drinks,motorcycle,1.0,No,Metropolitian,44.0,13.611428630407849
27.0,4.2,Stormy,Jam,0.0,Buffet,motorcycle,1.0,No,Metropolitian,33.0,13.763896210757975
30.0,4.2,Cloudy,Medium,1.0,Snack,scooter,1.0,No,Urban,19.0,7.761350404897231
29.0,4.5,Sunny,Medium,0.0,Snack,motorcycle,0.0,No,Metropolitian,15.0,4.657591594952301
