Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Distance_in_KM
34.0,4.6,Fog,Medium,0.0,Buffet,motorcycle,0.0,Yes,Metropolitian,42.0,13.973947080769715
23.0,4.6,Stormy,Medium,0.0,Drinks,motorcycle,1.0,No,Metropolitian,21.0,7.762499175710356
28.0,4.8,Sandstorms,Low,0.0,Drinks,motorcycle,1.0,No,Urban,22.0,10.724145471030752
38.0,4.4,Windy,Low,0.0,Drinks,motorcycle,1.0,No,Metropolitian,23.0,1.544016399331778
39.0,5.0,Fog,Low,0.0,Snack,motorcycle,1.0,No,Metropolitian,39.0,10.86586608780909
37.0,4.5,Stormy,Low,0.0,Snack,motorcycle,1.0,No,Metropolitian,24.0,8.952548604467738
34.0,4.8,Stormy,Medium,2.0,Snack,electric_scooter,0.0,No,Urban,20.0,17.097972349714006
38.0,3.9,Stormy,Jam,2.0,Snack,motorcycle,1.0,Yes,Metropolitian,42.0,10.564405615161895
30.0,4.0,Windy,Jam,2.0,Snack,motorcycle,0.0,No,Metropolitian,29.0,13.971950882978046
34.0,3.5,Windy,Jam,2.0,Meal,scooter,2.0,No,Metropolitian,44.0,11.916582838288104
28.0,4.6,Windy,Low,1.0,Drinks,motorcycle,0.0,No,Urban,14.0,1.5524171512659315
38.0,4.6,Stormy,Low,2.0,Snack,electric_scooter,0.0,No,Urban,24.0,9.313017158714828
24.0,4.5,Sunny,Medium,0.0,Buffet,motorcycle,0.0,No,Metropolitian,22.0,6.209141643213009
21.0,5.0,Windy,Jam,0.0,Meal,motorcycle,1.0,No,Metropolitian,31.0,19.661310204458477
25.0,4.5,Cloudy,Low,0.0,Drinks,motorcycle,1.0,No,Metropolitian,23.0,13.972194586930332
36.0,3.5,Sandstorms,Jam,1.0,Meal,scooter,1.0,No,Metropolitian,38.0,12.10015723816894
37.0,4.6,Sandstorms,Jam,2.0,Snack,motorcycle,0.0,No,Metropolitian,34.0,9.326616348118744
26.0,4.4,Sandstorms,Medium,0.0,Meal,motorcycle,1.0,No,Metropolitian,37.0,12.294166376369663
38.0,4.4,Fog,Jam,2.0,Buffet,motorcycle,1.0,No,Metropolitian,34.0,9.05586019430546
28.0,4.8,Cloudy,Low,0.0,Snack,motorcycle,0.0,No,Urban,24.0,1.489792976782627
28.0,4.9,Sunny,Low,1.0,Drinks,scooter,1.0,No,Urban,17.0,4.674172124263269
36.0,5.0,Stormy,Low,2.0,Drinks,scooter,1.0,No,Metropolitian,24.0,1.5544994921789963
39.0,3.5,Sandstorms,Medium,1.0,Buffet,scooter,1.0,No,Urban,37.0,10.865675782880029
22.0,5.0,Fog,Low,0.0,Drinks,motorcycle,1.0,No,Metropolitian,24.0,11.923472540743209
39.0,5.0,Cloudy,Low,0.0,Meal,motorcycle,1.0,No,Metropolitian,41.0,20.183799025948787
22.0,4.9,Windy,Jam,0.0,Buffet,motorcycle,1.0,No,Metropolitian,37.0,4.656788095044164
26.0,5.0,Sunny,Medium,0.0,Drinks,motorcycle,1.0,No,Urban,16.0,7.760928146685042
39.0,4.2,Sandstorms,Low,0.0,Buffet,motorcycle,1.0,No,Urban,24.0,4.5379053231429145
35.0,4.8,Windy,Jam,0.0,Drinks,motorcycle,1.0,No,Metropolitian,44.0,10.707860128480876
39.0,4.4,Fog,Jam,2.0,Drinks,scooter,1.0,No,Metropolitian,31.0,4.674173521866281
20.0,4.8,Windy,Low,2.0,Drinks,motorcycle,0.0,No,Metropolitian,11.0,2.930215111056805
31.0,4.8,Stormy,Medium,2.0,Buffet,scooter,0.0,No,Urban,28.0,4.610456146048326
30.0,4.1,Stormy,Medium,2.0,Meal,electric_scooter,1.0,No,Metropolitian,34.0,6.290134677634678
24.0,4.6,Stormy,Low,2.0,Drinks,scooter,0.0,No,Urban,11.0,1.5581369822072066
38.0,4.9,Windy,Jam,0.0,Snack,motorcycle,1.0,No,Metropolitian,47.0,7.648322354566645
21.0,5.0,Cloudy,Low,0.0,Drinks,motorcycle,1.0,No,Metropolitian,20.0,12.209907712718548
20.0,4.6,Fog,Medium,0.0,Meal,motorcycle,1.0,No,Metropolitian,22.0,9.316238098535406
39.0,4.6,Sandstorms,Low,2.0,Drinks,motorcycle,1.0,No,Metropolitian,23.0,9.435201537430713
22.0,4.4,Cloudy,Medium,1.0,Snack,scooter,1.0,No,Metropolitian,36.0,10.565262855251524
36.0,4.2,Cloudy,Jam,2.0,Drinks,scooter,1.0,No,Metropolitian,36.0,20.180936931739232
25.0,5.0,Sunny,Jam,2.0,Snack,scooter,1.0,No,Metropolitian,22.0,12.418394742110449
37.0,4.8,Stormy,Jam,0.0,Meal,motorcycle,2.0,No,Metropolitian,43.0,9.220449825751995
31.0,4.4,Sandstorms,Jam,1.0,Snack,motorcycle,1.0,No,Metropolitian,31.0,4.657597469270872
36.0,4.1,Stormy,Jam,0.0,Buffet,motorcycle,3.0,No,Metropolitian,51.0,12.256076445468295
21.0,4.8,Windy,Low,1.0,Drinks,scooter,0.0,No,Urban,12.0,10.86821251710302
29.0,4.7,Windy,Low,1.0,Buffet,motorcycle,0.0,No,Urban,15.0,12.418462399627495
31.0,4.8,Sandstorms,Low,1.0,Snack,scooter,0.0,No,Metropolitian,24.0,7.762556904358442
39.0,4.9,Sandstorms,Medium,2.0,Buffet,electric_scooter,1.0,No,Metropolitian,28.0,14.15280068944862
21.0,4.6,Cloudy,Medium,2.0,Meal,electric_scooter,1.0,No,Metropolitian,39.0,19.917038235830077
31.0,4.8,Fog,Low,2.0,Meal,scooter,1.0,No,Metropolitian,16.0,4.469351491411031
20.0,4.7,Fog,Jam,0.0,Buffet,motorcycle,1.0,No,Metropolitian,38.0,10.906036622245482
26.0,4.8,Fog,High,0.0,Meal,motorcycle,0.0,No,Urban,25.0,3.1161407812915187
28.0,4.7,Sandstorms,Medium,2.0,Snack,electric_scooter,1.0,No,Metropolitian,24.0,7.658776111980611
29.0,4.9,Cloudy,Low,2.0,Snack,scooter,1.0,No,Urban,26.0,10.586824027282614
35.0,4.6,Stormy,Low,0.0,Buffet,motorcycle,1.0,No,Metropolitian,21.0,20.18063511411472
30.0,4.9,Sandstorms,Low,2.0,Buffet,scooter,1.0,No,Metropolitian,23.0,14.15280068944862
23.0,4.8,Sunny,Low,0.0,Meal,motorcycle,0.0,No,Metropolitian,13.0,4.528164580408178
33.0,4.3,Windy,Low,0.0,Drinks,motorcycle,1.0,No,Metropolitian,24.0,1.4899109729390851
33.0,4.7,Sunny,Low,0.0,Buffet,motorcycle,1.0,No,Metropolitian,25.0,1.5725337292863206
37.0,4.8,Sandstorms,Low,1.0,Buffet,scooter,1.0,No,Metropolitian,21.0,13.970122998261996
30.0,4.8,Cloudy,Medium,0.0,Drinks,motorcycle,0.0,No,Metropolitian,27.0,4.6576549370601725
21.0,4.5,Sandstorms,Medium,1.0,Buffet,scooter,0.0,No,Metropolitian,15.0,10.865584127340645
36.0,4.9,Cloudy,Low,1.0,Snack,scooter,0.0,No,Urban,19.0,3.029527086813746
39.0,4.6,Sunny,Jam,2.0,Drinks,scooter,1.0,No,Metropolitian,22.0,4.537922749289298
30.0,4.7,Sunny,Jam,1.0,Meal,scooter,1.0,No,Metropolitian,25.0,13.762097103297643
20.0,3.5,Sunny,Low,2.0,Drinks,scooter,1.0,No,Metropolitian,40.0,16.8274727731461
38.0,4.6,Cloudy,Jam,0.0,Buffet,motorcycle,0.0,No,Metropolitian,30.0,4.663187802146826
35.0,3.7,Stormy,Jam,1.0,Meal,scooter,1.0,No,Metropolitian,43.0,13.631339548300277
29.0,5.0,Stormy,Medium,2.0,Snack,motorcycle,0.0,No,Metropolitian,26.0,7.761780026108867
31.0,4.2,Windy,Jam,2.0,Buffet,electric_scooter,0.0,No,Metropolitian,35.0,10.602507301514994
32.0,4.6,Stormy,High,1.0,Buffet,scooter,1.0,No,Metropolitian,27.0,1.5293705867132354
26.0,4.6,Stormy,Jam,1.0,Meal,scooter,1.0,No,Metropolitian,13.0,4.405707968793497
20.0,4.7,Stormy,Medium,1.0,Meal,scooter,1.0,No,Metropolitian,21.0,10.88065184853556
38.0,4.7,Sunny,High,2.0,Drinks,scooter,1.0,No,Urban,18.0,3.059443338897214
38.0,4.8,Sunny,Low,2.0,Snack,electric_scooter,1.0,No,Metropolitian,15.0,1.5439076805320382
37.0,4.1,Sandstorms,High,0.0,Snack,motorcycle,0.0,No,Metropolitian,48.0,2.981217855191797
39.0,4.6,Windy,Low,0.0,Buffet,motorcycle,1.0,No,Metropolitian,26.0,13.773737657079298
37.0,5.0,Stormy,Jam,1.0,Buffet,scooter,1.0,No,Metropolitian,30.0,7.450285845946469
31.0,4.9,Windy,Low,1.0,Snack,motorcycle,1.0,No,Metropolitian,22.0,20.887400289948943
30.0,4.9,Fog,Jam,0.0,Meal,motorcycle,2.0,No,Metropolitian,54.0,19.67276687202039
25.0,4.6,Cloudy,Jam,2.0,Meal,scooter,0.0,No,Urban,30.0,4.494166054627451
39.0,4.5,Fog,Jam,1.0,Meal,scooter,1.0,No,Metropolitian,30.0,7.761199672759851
21.0,4.9,Sunny,Low,0.0,Buffet,motorcycle,1.0,No,Metropolitian,28.0,10.568447337504711
35.0,4.9,Stormy,Jam,1.0,Buffet,scooter,1.0,No,Metropolitian,29.0,9.313017158714828
28.0,4.7,Fog,High,2.0,Snack,motorcycle,1.0,No,Metropolitian,30.0,6.210060323088704
36.0,4.8,Fog,Low,0.0,Snack,motorcycle,1.0,No,Metropolitian,23.0,1.5580994617898951
25.0,4.5,Fog,Medium,0.0,Snack,motorcycle,1.0,No,Metropolitian,34.0,13.58258356489648
37.0,4.3,Cloudy,Low,0.0,Drinks,motorcycle,2.0,No,Metropolitian,39.0,11.00773476374462
30.0,3.9,Cloudy,Low,1.0,Drinks,scooter,0.0,No,Metropolitian,10.0,1.520369481743939
39.0,4.8,Sandstorms,Low,2.0,Snack,motorcycle,1.0,No,Metropolitian,29.0,20.17918820668875
37.0,4.5,Sunny,Jam,1.0,Buffet,motorcycle,1.0,No,Metropolitian,17.0,4.588898780683796
27.0,5.0,Fog,Medium,2.0,Meal,scooter,1.0,No,Metropolitian,33.0,17.098467518755893
28.0,4.8,Sunny,Jam,0.0,Drinks,motorcycle,1.0,No,Metropolitian,26.0,17.29786575291325
26.0,4.6,Cloudy,Medium,0.0,Buffet,motorcycle,1.0,No,Metropolitian,32.0,13.76397722442764
28.0,4.7,Fog,Low,2.0,Meal,electric_scooter,1.0,No,Metropolitian,23.0,19.66599261171412
28.0,4.8,Sunny,High,2.0,Buffet,scooter,1.0,No,Metropolitian,15.0,6.2179328802641525
37.0,4.7,Stormy,Low,2.0,Buffet,motorcycle,1.0,No,Urban,23.0,3.105091096509636
26.0,4.7,Cloudy,Low,0.0,Snack,motorcycle,1.0,No,Metropolitian,23.0,12.293677673573283
35.0,4.5,Windy,Medium,1.0,Buffet,motorcycle,0.0,No,Urban,21.0,20.851598740135785
25.0,4.9,Windy,Jam,1.0,Snack,scooter,0.0,No,Metropolitian,23.0,19.880157869977552
32.0,3.9,Windy,Jam,1.0,Drinks,scooter,1.0,No,Metropolitian,38.0,20.44292976252901
33.0,4.3,Sandstorms,Low,0.0,Buffet,motorcycle,1.0,No,Urban,20.0,3.0527511596434675
23.0,4.5,Fog,Medium,0.0,Meal,motorcycle,1.0,No,Metropolitian,39.0,19.916194656540203
31.0,4.7,Windy,High,2.0,Snack,electric_scooter,1.0,No,Metropolitian,26.0,3.027483634851258
34.0,3.5,Fog,Low,1.0,Snack,scooter,1.0,No,Metropolitian,35.0,13.405500819756533
39.0,4.8,Stormy,High,2.0,Buffet,scooter,1.0,No,Metropolitian,28.0,6.290134677634678
24.0,4.5,Sunny,Jam,1.0,Drinks,motorcycle,1.0,No,Urban,24.0,12.294166376369663
31.0,4.8,Sandstorms,Low,2.0,Drinks,motorcycle,0.0,No,Metropolitian,21.0,16.90205180024393
31.0,4.5,Cloudy,Jam,0.0,Snack,motorcycle,2.0,No,Metropolitian,43.0,10.867232952679458
34.0,3.5,Windy,Medium,2.0,Snack,motorcycle,1.0,No,Metropolitian,32.0,11.917680464391143
35.0,4.1,Windy,High,2.0,Snack,scooter,1.0,No,Metropolitian,33.0,3.020360060848624
36.0,4.7,Fog,Low,0.0,Snack,motorcycle,0.0,No,Metropolitian,25.0,1.5581193629487389
30.0,4.9,Stormy,Jam,1.0,Drinks,scooter,0.0,No,Metropolitian,26.0,7.448303502970493
24.0,4.9,Windy,Low,0.0,Buffet,motorcycle,0.0,No,Metropolitian,15.0,12.419709768770852
28.0,5.0,Cloudy,Low,2.0,Snack,motorcycle,0.0,No,Urban,16.0,2.984613247240924
30.0,3.9,Sandstorms,High,0.0,Buffet,motorcycle,1.0,No,Metropolitian,22.0,6.080949025950904
24.0,4.8,Fog,High,0.0,Drinks,motorcycle,1.0,No,Metropolitian,27.0,6.232373129283698
22.0,3.3,Sunny,Low,1.0,Snack,motorcycle,0.0,No,Metropolitian,35.0,12.23475004893086
37.0,4.6,Sunny,Medium,0.0,Snack,motorcycle,1.0,No,Metropolitian,37.0,16.600060265890743
25.0,4.9,Fog,Low,2.0,Snack,scooter,0.0,No,Urban,15.0,4.674220356187266
30.0,4.1,Fog,Low,2.0,Snack,electric_scooter,1.0,No,Urban,31.0,10.88107784923287
38.0,3.7,Stormy,Jam,1.0,Meal,motorcycle,1.0,No,Metropolitian,31.0,16.853347148215086
22.0,4.8,Sandstorms,Medium,1.0,Snack,scooter,1.0,No,Metropolitian,21.0,6.176331704964459
25.0,5.0,Cloudy,Low,2.0,Snack,scooter,1.0,No,Urban,10.0,7.325604384960364
28.0,4.8,Sandstorms,High,2.0,Buffet,scooter,1.0,No,Urban,17.0,6.290134677634678
28.0,4.8,Sunny,Low,0.0,Drinks,motorcycle,1.0,No,Metropolitian,22.0,19.09000648338938
34.0,4.4,Fog,Jam,1.0,Drinks,scooter,0.0,No,Metropolitian,49.0,16.903843893839564
26.0,4.9,Fog,Low,0.0,Snack,motorcycle,0.0,No,Urban,21.0,3.040666798077057
30.0,3.9,Sandstorms,Medium,2.0,Snack,scooter,1.0,No,Metropolitian,24.0,17.138105845700238
30.0,4.4,Windy,Medium,0.0,Drinks,motorcycle,1.0,No,Urban,22.0,12.1610162189127
24.0,4.8,Fog,Medium,1.0,Snack,motorcycle,1.0,No,Metropolitian,28.0,20.18269322461139
25.0,4.7,Sandstorms,Medium,1.0,Buffet,scooter,0.0,No,Metropolitian,29.0,20.252967850083056
36.0,4.1,Sandstorms,High,0.0,Buffet,motorcycle,1.0,No,Metropolitian,32.0,3.0605561405264683
38.0,4.7,Stormy,Low,1.0,Drinks,motorcycle,0.0,No,Metropolitian,24.0,10.905993510336607
36.0,4.6,Sunny,Low,0.0,Buffet,motorcycle,1.0,No,Metropolitian,24.0,17.097972861362276
34.0,5.0,Stormy,High,1.0,Snack,motorcycle,1.0,No,Urban,31.0,3.105091096509636
30.0,4.5,Fog,Jam,1.0,Drinks,scooter,0.0,No,Metropolitian,32.0,13.68149202266889
33.0,5.0,Sunny,High,1.0,Drinks,scooter,0.0,No,Metropolitian,18.0,6.2105896103141776
37.0,4.9,Windy,Low,2.0,Meal,scooter,1.0,No,Metropolitian,15.0,10.867476143445908
32.0,4.3,Sandstorms,Jam,0.0,Buffet,motorcycle,1.0,Yes,Metropolitian,51.0,11.983536457749452
27.0,4.8,Fog,Low,1.0,Snack,motorcycle,1.0,No,Urban,25.0,16.721203191622227
29.0,4.0,Fog,Jam,2.0,Buffet,scooter,1.0,No,Metropolitian,33.0,10.56459693415822
20.0,4.5,Stormy,Low,1.0,Meal,scooter,0.0,No,Urban,11.0,3.04081604085675
36.0,4.9,Fog,Low,2.0,Buffet,scooter,0.0,No,Metropolitian,18.0,3.145067434621583
33.0,4.1,Sunny,Medium,0.0,Snack,motorcycle,1.0,No,Metropolitian,32.0,19.615926964388624
35.0,4.9,Fog,Low,1.0,Buffet,scooter,1.0,No,Metropolitian,25.0,20.25378851608599
35.0,4.6,Windy,Low,1.0,Meal,scooter,0.0,No,Metropolitian,27.0,7.772466272035551
24.0,4.9,Fog,Jam,1.0,Drinks,scooter,0.0,No,Metropolitian,31.0,7.448627554424398
33.0,4.6,Cloudy,Low,1.0,Snack,motorcycle,1.0,No,Metropolitian,26.0,13.971968544834215
33.0,4.6,Fog,Low,0.0,Snack,motorcycle,0.0,No,Metropolitian,44.0,13.970572124439776
30.0,4.0,Sandstorms,Low,1.0,Drinks,motorcycle,1.0,No,Metropolitian,21.0,3.040649953439472
22.0,5.0,Fog,Jam,0.0,Snack,motorcycle,1.0,No,Metropolitian,44.0,10.58781900321548
20.0,4.9,Fog,Medium,0.0,Buffet,motorcycle,1.0,No,Metropolitian,27.0,9.055364789945113
29.0,4.0,Windy,Low,0.0,Buffet,motorcycle,1.0,No,Metropolitian,28.0,3.088342782183871
28.0,4.5,Sunny,Jam,2.0,Meal,scooter,0.0,No,Metropolitian,15.0,19.688394563498186
38.0,4.2,Windy,Jam,2.0,Snack,motorcycle,1.0,No,Metropolitian,33.0,7.601245065529116
30.0,4.4,Windy,High,1.0,Drinks,motorcycle,1.0,No,Metropolitian,34.0,6.218030984114243
39.0,4.1,Windy,Low,0.0,Drinks,motorcycle,1.0,No,Metropolitian,33.0,3.064002956584147
37.0,4.4,Sandstorms,Low,0.0,Drinks,motorcycle,1.0,No,Metropolitian,30.0,3.0644871057616703
33.0,5.0,Cloudy,Medium,2.0,Meal,electric_scooter,1.0,No,Metropolitian,16.0,4.544267482984226
36.0,4.4,Fog,Medium,2.0,Drinks,scooter,1.0,No,Metropolitian,36.0,17.29786575291325
20.0,4.8,Stormy,Low,1.0,Buffet,motorcycle,1.0,No,Metropolitian,17.0,4.59670198232987
24.0,4.7,Cloudy,Jam,0.0,Meal,motorcycle,0.0,No,Metropolitian,24.0,4.56126563284071
36.0,5.0,Stormy,Low,1.0,Buffet,motorcycle,1.0,No,Metropolitian,24.0,1.4652507248457556
30.0,4.0,Sandstorms,Low,0.0,Drinks,motorcycle,1.0,No,Metropolitian,34.0,5895.019481630726
30.0,4.4,Sandstorms,Low,1.0,Buffet,scooter,1.0,No,Metropolitian,15.0,3.0188245695177898
21.0,4.7,Stormy,Jam,0.0,Drinks,motorcycle,0.0,No,Metropolitian,20.0,9.435201537430713
39.0,4.5,Stormy,Jam,2.0,Drinks,scooter,1.0,No,Metropolitian,26.0,9.192496429758329
23.0,4.8,Windy,Jam,1.0,Snack,scooter,1.0,No,Urban,15.0,9.316238098535406
25.0,2.8,Sunny,Low,1.0,Buffet,motorcycle,1.0,No,Metropolitian,41.0,11.00773476374462
34.0,4.6,Sandstorms,Low,1.0,Buffet,motorcycle,1.0,No,Metropolitian,18.0,10.594159660086516
36.0,4.6,Sunny,Medium,1.0,Buffet,motorcycle,1.0,No,Metropolitian,17.0,8.938685874463816
21.0,5.0,Windy,Jam,2.0,Drinks,scooter,0.0,No,Metropolitian,13.0,4.596698554557205
35.0,4.7,Stormy,Jam,1.0,Meal,motorcycle,0.0,No,Metropolitian,27.0,10.865776701899678
24.0,4.9,Cloudy,Low,0.0,Snack,motorcycle,1.0,No,Metropolitian,20.0,12.463937409087931
20.0,4.8,Cloudy,Medium,0.0,Meal,motorcycle,1.0,No,Metropolitian,20.0,5.958756242189327
28.0,4.8,Cloudy,Medium,2.0,Drinks,scooter,1.0,No,Metropolitian,14.0,9.313614929815012
20.0,4.7,Cloudy,Low,0.0,Drinks,motorcycle,1.0,No,Urban,16.0,7.761199672759851
35.0,4.0,Fog,Jam,1.0,Buffet,motorcycle,1.0,No,Metropolitian,34.0,9.17813837505589
26.0,4.9,Cloudy,Low,2.0,Meal,motorcycle,1.0,No,Metropolitian,11.0,1.4898423067405666
24.0,4.5,Stormy,Low,1.0,Drinks,scooter,0.0,No,Urban,18.0,1.5127140854704322
30.0,4.7,Sandstorms,Low,1.0,Drinks,scooter,0.0,No,Metropolitian,29.0,3.027479659697612
35.0,4.4,Sandstorms,Low,0.0,Meal,motorcycle,0.0,No,Metropolitian,26.0,3.116148933802629
25.0,4.9,Sandstorms,Medium,0.0,Drinks,motorcycle,1.0,No,Metropolitian,24.0,6.117673772819904
33.0,4.8,Sandstorms,Medium,0.0,Drinks,motorcycle,1.0,No,Metropolitian,36.0,7.862668167410368
28.0,4.8,Fog,Jam,1.0,Drinks,scooter,1.0,No,Metropolitian,20.0,7.719720634477976
35.0,4.7,Fog,Medium,1.0,Buffet,scooter,0.0,No,Metropolitian,15.0,5.860255823072172
24.0,4.8,Stormy,Low,2.0,Snack,scooter,1.0,No,Urban,17.0,3.1089836948124367
21.0,4.9,Windy,Jam,1.0,Snack,scooter,0.0,No,Urban,19.0,7.790172211356696
33.0,4.8,Fog,Jam,0.0,Snack,motorcycle,2.0,No,Metropolitian,47.0,12.292599798532462
37.0,4.8,Cloudy,Low,1.0,Snack,motorcycle,0.0,No,Urban,18.0,1.5323511358881128
33.0,4.6,Sunny,Jam,1.0,Meal,scooter,1.0,No,Metropolitian,20.0,20.44292976252901
32.0,4.6,Fog,Jam,0.0,Snack,motorcycle,1.0,No,Metropolitian,52.0,17.138022477115094
30.0,4.2,Sunny,Medium,0.0,Meal,motorcycle,1.0,No,Metropolitian,32.0,12.434914295120448
30.0,4.0,Stormy,Medium,0.0,Drinks,motorcycle,1.0,No,Metropolitian,30.0,6.081387490813416
21.0,4.8,Windy,Low,1.0,Drinks,scooter,1.0,No,Metropolitian,18.0,1.5527578022548725
24.0,4.5,Sunny,Medium,1.0,Drinks,motorcycle,1.0,No,Metropolitian,14.0,12.07428194576936
30.0,3.9,Sandstorms,Low,1.0,Meal,scooter,1.0,No,Metropolitian,21.0,7.760937776419092
31.0,4.6,Cloudy,Low,2.0,Buffet,scooter,1.0,No,Urban,19.0,1.4895293820617894
25.0,5.0,Stormy,Jam,1.0,Snack,scooter,1.0,No,Urban,27.0,20.44292976252901
35.0,4.0,Windy,High,1.0,Meal,scooter,1.0,No,Metropolitian,33.0,6.21800119018663
24.0,4.9,Fog,Jam,2.0,Snack,motorcycle,0.0,No,Metropolitian,32.0,9.122100805601145
33.0,4.8,Sunny,Medium,2.0,Buffet,motorcycle,1.0,No,Urban,21.0,4.65713301884333
29.0,4.7,Fog,Low,2.0,Snack,electric_scooter,1.0,No,Metropolitian,25.0,14.022298282479133
21.0,4.9,Stormy,Low,0.0,Snack,motorcycle,0.0,No,Metropolitian,16.0,11.916990180554908
20.0,4.9,Fog,Medium,0.0,Snack,motorcycle,0.0,No,Metropolitian,22.0,9.121421674135904
30.0,3.9,Sandstorms,Medium,0.0,Snack,motorcycle,1.0,No,Metropolitian,24.0,4.657952854119435
26.0,4.9,Windy,Low,2.0,Meal,electric_scooter,0.0,No,Metropolitian,11.0,4432.563538512652
39.0,5.0,Sandstorms,Jam,1.0,Meal,scooter,0.0,No,Urban,25.0,7.648280480148493
20.0,4.3,Sandstorms,Jam,0.0,Drinks,motorcycle,1.0,No,Metropolitian,35.0,17.076712975302453
25.0,5.0,Sunny,Jam,2.0,Meal,motorcycle,0.0,No,Metropolitian,13.0,4.590769055748737
37.0,5.0,Fog,Jam,2.0,Drinks,electric_scooter,0.0,No,Urban,41.0,12.255817809722812
38.0,4.7,Sunny,High,2.0,Snack,scooter,1.0,No,Metropolitian,22.0,6.175848827388974
39.0,4.9,Windy,Low,1.0,Meal,motorcycle,1.0,No,Metropolitian,27.0,12.161417162421785
36.0,4.7,Cloudy,Medium,1.0,Meal,scooter,1.0,No,Metropolitian,33.0,10.42736760615815
23.0,4.9,Windy,High,1.0,Meal,scooter,0.0,No,Metropolitian,18.0,6.128249797982013
29.0,5.0,Sandstorms,Jam,2.0,Buffet,electric_scooter,0.0,No,Metropolitian,20.0,12.291841945089606
24.0,4.7,Cloudy,High,0.0,Snack,motorcycle,0.0,No,Urban,24.0,3.104803710518419
21.0,4.0,Stormy,Jam,0.0,Buffet,motorcycle,1.0,No,Metropolitian,35.0,13.61117180523985
29.0,4.6,Fog,Low,1.0,Snack,motorcycle,0.0,No,Metropolitian,17.0,2.979521049499924
32.0,4.6,Sandstorms,Low,2.0,Meal,scooter,1.0,No,Metropolitian,22.0,3.145067434621583
23.0,4.8,Sandstorms,Medium,0.0,Meal,motorcycle,1.0,No,Metropolitian,28.0,4.65818248829983
20.0,4.7,Windy,Low,0.0,Meal,motorcycle,1.0,No,Urban,19.0,20.18090860125022
39.0,4.6,Fog,Jam,1.0,Snack,motorcycle,1.0,No,Metropolitian,33.0,9.088078142011636
34.0,4.7,Sandstorms,Low,2.0,Meal,scooter,0.0,No,Metropolitian,23.0,7.803119706574829
31.0,4.8,Cloudy,Medium,0.0,Buffet,motorcycle,0.0,No,Metropolitian,40.0,20.06797119550767
28.0,4.6,Stormy,Low,2.0,Drinks,scooter,0.0,No,Metropolitian,17.0,3.145067434621583
33.0,4.6,Cloudy,Low,2.0,Meal,scooter,1.0,No,Metropolitian,29.0,13.97014466545326
